  x      y     z      t      dx      dy      dz      dt      p         dp        n
  -200.0    250.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    250.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    250.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    250.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    214.41     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    214.41     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    214.41     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    214.41     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    210.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    210.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    210.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    210.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    200.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    200.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    200.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    200.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    190.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    190.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    190.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    190.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    153.66     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    153.66     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    153.66     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    153.66     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    150.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    150.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    150.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    150.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    140.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    140.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    140.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    140.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    130.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    130.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    130.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    130.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    92.9099     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    92.9099     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    92.9099     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    92.9099     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    90.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    90.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    90.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    90.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    80.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    80.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    80.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    80.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    70.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    70.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    70.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    70.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    32.16     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    32.16     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    32.16     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    32.16     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    30.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    30.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    30.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    30.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    20.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    20.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    20.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    20.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    10.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    10.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    10.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -200.0    10.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    578.909     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    578.909     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    578.909     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    578.909     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    570.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    570.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    570.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    570.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    560.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    560.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    560.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    560.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    550.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    550.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    550.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    550.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    518.159     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    518.159     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    518.159     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    518.159     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    510.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    510.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    510.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    510.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    500.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    500.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    500.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    500.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    490.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    490.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    490.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    490.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    457.409     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  -150.0    457.409     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
